"","ensemblID","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"518","ENSG00000227297",-2.68487793648811,-2.32589747469752,-10.8948175681429,3.85952606859636e-13,2.35319219863549e-11,19.8798029227976,"AL035541.1"
"520","ENSG00000227356",-1.74438701220279,-2.35605126538767,-5.48622915216402,3.05467608240653e-06,2.04308780265251e-05,4.10928306045135,"LINC00866"
"524","ENSG00000227374",-2.81506780542102,0.336216211676652,-8.5084876401441,2.91771540956436e-10,5.59352256539692e-09,13.2922965877157,"AL157832.1"
"525","ENSG00000227388",-3.08001122753893,-0.11538160294143,-9.33880988726287,2.67633774412975e-11,7.45652509241976e-10,15.6687232131347,"AL133410.1"
"526","ENSG00000227403",-2.1740611910274,0.0139095380362714,-6.04358455010158,5.34132501526962e-07,4.41472580338689e-06,5.83125419088259,"LINC01806"
"528","ENSG00000227456",-1.71889329294281,-0.576401170927827,-5.1568343783609,8.53318954351651e-06,5.17278507342564e-05,3.0983635894232,"LINC00310"
"533","ENSG00000227486",-1.90081379012826,-1.01139837704102,-6.85700174186038,4.24785784747686e-08,4.65383801154561e-07,8.34045234167814,"AL050309.1"
"535","ENSG00000227508",-1.86090787635157,-1.04925872479148,-5.23568758153342,6.67603732978273e-06,4.12424215071893e-05,3.33960912560107,"LINC01624"
"558","ENSG00000227888",-2.31456992421545,-1.57789568964199,-8.01226609127279,1.26540307733438e-09,2.12942029853829e-08,11.8326871010891,"FAM66A"
"561","ENSG00000227920",-3.56718356580953,0.451057527793453,-11.5334714372777,7.41928981437838e-14,6.83484806688457e-12,21.5142922636524,"AL353597.1"
"564","ENSG00000227946",-1.64868573990773,0.0958460504050949,-5.12855693371998,9.31742391254506e-06,5.59977177143958e-05,3.01198926772791,"AC007383.1"
"569","ENSG00000228037",-1.54808313250395,-0.918499568377535,-4.64034592193071,4.20625969283049e-05,0.000222868193044558,1.53564313266217,"AL139246.3"
"576","ENSG00000228106",-2.57175511721929,0.442022618367046,-10.20854253489,2.40795043186163e-12,1.02325731988302e-10,18.062436012496,"AL392172.1"
"581","ENSG00000228139",-1.74315752699884,-2.1255939591514,-4.18237966550282,0.00016825619622987,0.000766134624087286,0.186933800630805,"LINC01402"
"595","ENSG00000228334",-3.22738404046953,-1.15539639266607,-10.3951574818047,1.45478959901143e-12,7.03482740579435e-11,18.5628942702756,"AC024028.1"
"601","ENSG00000228408",-2.27729232552601,-2.36674051833111,-9.35844791337905,2.53196314509137e-11,7.14897245060362e-10,15.7238715770033,"AL031056.1"
"605","ENSG00000228423",-2.50812755999017,-0.525651333033986,-7.05377247041236,2.31569518890998e-08,2.75201402817635e-07,8.94288423757787,"AL357552.3"
"606","ENSG00000228434",-1.89929413833954,1.8199410738928,-7.7686743626211,2.62639625928928e-09,3.97075474288119e-08,11.1063905098052,"AC004951.1"
"609","ENSG00000228495",-1.73087696442132,-1.71906817264391,-5.10894374863775,9.90300457802449e-06,5.91788924144162e-05,2.95212567326653,"LINC01013"
"623","ENSG00000228649",-2.42119843692721,1.05871664467932,-9.51835419922431,1.61492080230618e-11,5.03257171503859e-10,16.171057729276,"SNHG26"
"632","ENSG00000228784",-2.47727010616684,1.73829963219017,-8.56988062195246,2.43822613252651e-10,4.86143001873888e-09,13.4709112252178,"LINC00954"
"644","ENSG00000228857",-2.29279474500323,0.321755058750632,-4.44617931229808,7.60197785820984e-05,0.000379828038592504,0.958614478570928,"AC104653.1"
"648","ENSG00000228878",-1.53449570024712,-1.22086371720806,-6.51707697258487,1.21893087515604e-07,1.17615646600493e-06,7.29462419444851,"SEPTIN7-DT"
"649","ENSG00000228886",-1.78257151008762,1.44424078633899,-5.85879188016416,9.52259796012676e-07,7.36425912100244e-06,5.25958294300984,"AL138963.1"
"651","ENSG00000228906",-2.03647603333583,2.22125676552888,-7.20285222828941,1.46527219141977e-08,1.84011943561283e-07,9.39753432616077,"AL353804.1"
"663","ENSG00000229151",-2.96477858791273,0.452027295343791,-7.95337537120589,1.50885085861784e-09,2.4893080636099e-08,11.6576610544606,"AC233976.1"
"667","ENSG00000229195",-1.83848169889331,-0.0434411493648377,-4.07875677676,0.000229066849311242,0.00100593343951189,-0.111694148755068,"AC009495.1"
"685","ENSG00000229388",-1.50254024343193,-1.45673931716909,-5.00123966119314,1.38329653709182e-05,8.08267851603512e-05,2.62410096128549,"LINC01715"
"687","ENSG00000229422",-1.6441320722996,0.35620211560012,-7.0304932688146,2.48764412254727e-08,2.89102729932496e-07,8.87174560712333,"AL512625.2"
"692","ENSG00000229484",-2.81228510288558,-1.11128753721965,-8.51976070936677,2.82300428275129e-10,5.4478802832728e-09,13.3251275828083,"LINC02766"
"704","ENSG00000229628",-2.75486761102189,-1.16237104538042,-7.05615600386362,2.29878008267071e-08,2.74069171965097e-07,8.95016593082397,"AC073115.1"
"705","ENSG00000229646",-1.65083864152439,-1.90988046654228,-3.44558247929709,0.00142633295801977,0.0051340328892727,-1.86642196553772,"AL109914.1"
"718","ENSG00000229807",-6.57326935078366,1.54159830942689,-4.14945804433362,0.000185627866077673,0.000842434123612481,0.0917621252499083,"XIST"
"733","ENSG00000229989",-1.96778898192628,1.27892832409396,-6.45145267303389,1.49514635854925e-07,1.42309518787708e-06,7.09213857469546,"MIR181A1HG"
"744","ENSG00000230138",-1.90073605751998,-0.677901313346448,-5.89972937058647,8.37749090645434e-07,6.56314790380883e-06,5.38620160104302,"LINC02812"
"762","ENSG00000230415",-3.45566508914461,-0.636046844340972,-10.61497452475,8.08247913508893e-13,4.30417591409103e-11,19.1463843950573,"LINC01786"
"766","ENSG00000230438",-2.25150231406831,1.43054347806707,-8.74201937679947,1.47743299622848e-10,3.12339729403678e-09,13.9693141498187,"SERPINB9P1"
"774","ENSG00000230537",-2.61104676469141,-1.00520135939591,-7.04161839562402,2.4039200238964e-08,2.82494177109836e-07,8.90574741229686,"AL158071.3"
"778","ENSG00000230555",-2.12930627773601,-0.41680169348312,-6.07243411826559,4.88052599685066e-07,4.07388350570451e-06,5.92051273574585,"AL450326.1"
"782","ENSG00000230587",-2.40986808450595,-0.313764578569595,-7.65057127178576,3.75045905580072e-09,5.38504479445517e-08,10.7521074168497,"LINC02580"
"785","ENSG00000230606",-3.70379684185308,2.17327173448998,-13.2669596900036,1.09126368343983e-15,4.42001872065694e-13,25.6821430931678,"AC092683.1"
"790","ENSG00000230649",-2.51036661559576,-0.336853095008336,-11.0951535614194,2.28787281041259e-13,1.57788211695176e-11,20.3983864783035,"AC024084.2"
"807","ENSG00000230844",-1.62664520516677,0.363252398583748,-7.05603251390023,2.29965338016828e-08,2.74069171965097e-07,8.94978867878412,"ZNF674-AS1"
"828","ENSG00000231133",-1.61445034017062,-2.16238637568102,-5.81875106476564,1.0793972440124e-06,8.16730972223051e-06,5.13576258998913,"HAR1B"
"845","ENSG00000231412",3.7293720368917,1.05886316805153,5.37197410524068,4.36467764839189e-06,2.83857504519646e-05,3.75775807250248,"AC005392.2"
"854","ENSG00000231473",-1.70971480056572,-1.57740606181689,-5.84417047947973,9.96849262009572e-07,7.65709852668786e-06,5.21436522279751,"RB1-DT"
"861","ENSG00000231528",-1.75353117181884,-1.61684923410865,-7.12345495217864,1.86929863631861e-08,2.27287264826369e-07,9.15559815099274,"FAM225A"
"862","ENSG00000231535",3.0750934355534,0.196655855636968,2.53142954767521,0.0157079581569749,0.0424700385388133,-4.10364771385186,"LINC00278"
"864","ENSG00000231566",-2.13551598132157,-1.62023632642421,-5.98857034791422,6.34432614202802e-07,5.0646262010459e-06,5.66104275306098,"LINC02595"
"868","ENSG00000231680",-2.15926439683479,-0.229451844720469,-6.25822401335692,2.73117468249414e-07,2.45513929257539e-06,6.49517035966854,"LINC02723"
"870","ENSG00000231682",-2.63158067067433,-0.16287257320774,-8.42002675554805,3.78206998832384e-10,6.91789932212104e-09,13.0341495030278,"LINC01891"
"873","ENSG00000231705",-2.253495388022,-1.26293557027868,-5.76039364009023,1.29570126914257e-06,9.66492063702626e-06,4.95535768640501,"AL451069.2"
"876","ENSG00000231721",-2.13328385844756,5.93885700753353,-7.99816651453214,1.3198050736453e-09,2.20334124794674e-08,11.7908159026873,"LINC-PINT"
"899","ENSG00000232053",-2.61500240501094,-1.46538509646617,-6.99038099472339,2.81469058474038e-08,3.23535609016469e-07,8.74908038906583,"AC078845.1"
"905","ENSG00000232098",-1.50666265857905,1.03276827588081,-6.14999477136507,3.82971702541402e-07,3.31514805060016e-06,6.16045851985296,"AC012313.1"
"906","ENSG00000232104",-2.38957964563107,1.84646991505526,-8.4652708063357,3.31165367795909e-10,6.21969956391691e-09,13.1662956422156,"RFX3-AS1"
"921","ENSG00000232300",-2.54296919657514,0.91727831074368,-9.16491579631556,4.3825858603397e-11,1.10404423439815e-09,15.1782124005407,"FAM215B"
"929","ENSG00000232411",-2.680582435528,-1.03733904297407,-10.5773470567836,8.93396921876123e-13,4.58356201260104e-11,19.0469660142034,"AC009495.2"
"935","ENSG00000232504",-2.22340864413283,-0.50547483372593,-8.04972196055813,1.1316472984945e-09,1.95116401015015e-08,11.9438159006692,"ST3GAL5-AS1"
